"tgl_transaksi","bulan","kode_cabang","nama_cabang","kode_produk","nama_produk","nama_kategori","jumlah_pembelian","nama_kota","kode_propinsi","nama_propinsi","harga_berlaku_cabang","modal_cabang","biaya_cabang"
"01/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000010,salak 1 kg,Buah & Sayur,9,Makassar,P26,Sulawesi Selatan,1100,1040,30
"01/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,5,Makassar,P26,Sulawesi Selatan,5040,4790,60
"01/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,6,Makassar,P26,Sulawesi Selatan,8960,8510,170
"01/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000035,hand sanitizer,Obat & Alat Medis,4,Jakarta Pusat,P32,DKI Jakarta,6050,5690,20
"01/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000001,bawang merah 1kg,Buah & Sayur,16,Jakarta Pusat,P32,DKI Jakarta,10980,10380,190
"01/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000019,nasi goreng instant (1 ons),Makanan & Minuman,18,Jakarta Pusat,P32,DKI Jakarta,6060,5760,100
"01/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000023,markisa 600 ml,Makanan & Minuman,3,Surabaya,P10,Jawa Timur,14170,13400,340
"01/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000020,snack gurih 1 ons,Makanan & Minuman,15,Surabaya,P10,Jawa Timur,5240,4990,70
"01/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000017,air mineral 600 ml,Makanan & Minuman,3,Surabaya,P10,Jawa Timur,1200,1150,20
"01/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000028,paracetamol 1 pak,Obat & Alat Medis,14,Surabaya,P10,Jawa Timur,54670,52460,1340
"02/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000041,oksigen medis,Obat & Alat Medis,1,Surabaya,P10,Jawa Timur,12870,12320,30
"02/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000026,minuman probiotik,Makanan & Minuman,1,Surabaya,P10,Jawa Timur,900,860,10
"02/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000007,ketimun 1 kg,Buah & Sayur,4,Surabaya,P10,Jawa Timur,4640,4440,20
"02/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000033,pulse oximeter 1 buah,Obat & Alat Medis,15,Jakarta Pusat,P32,DKI Jakarta,15690,14900,90
"02/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000040,perban 1 pak,Obat & Alat Medis,5,Jakarta Pusat,P32,DKI Jakarta,15090,14310,220
"02/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000011,semangka 1 buah,Buah & Sayur,4,Jakarta Pusat,P32,DKI Jakarta,1210,1150,30
"02/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000003,buncis 1 kg,Buah & Sayur,20,Makassar,P26,Sulawesi Selatan,6220,5900,90
"02/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,14,Makassar,P26,Sulawesi Selatan,5040,4790,60
"02/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000010,salak 1 kg,Buah & Sayur,18,Makassar,P26,Sulawesi Selatan,1100,1040,30
"02/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000004,kacang panjang 1 kg,Buah & Sayur,17,Makassar,P26,Sulawesi Selatan,8020,7620,60
"03/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000023,markisa 600 ml,Makanan & Minuman,17,Makassar,P26,Sulawesi Selatan,14170,13400,340
"03/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000035,hand sanitizer,Obat & Alat Medis,20,Makassar,P26,Sulawesi Selatan,6050,5690,20
"03/01/2020 0:00",1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000016,mie instant 1 kotak (40 bungkus),Makanan & Minuman,11,Makassar,P26,Sulawesi Selatan,96580,91220,630
"03/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000040,perban 1 pak,Obat & Alat Medis,7,Jakarta Pusat,P32,DKI Jakarta,15090,14310,220
"03/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000011,semangka 1 buah,Buah & Sayur,1,Jakarta Pusat,P32,DKI Jakarta,1210,1150,30
"03/01/2020 0:00",1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000028,paracetamol 1 pak,Obat & Alat Medis,5,Jakarta Pusat,P32,DKI Jakarta,54670,52460,1340
"03/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000017,air mineral 600 ml,Makanan & Minuman,8,Surabaya,P10,Jawa Timur,1200,1150,20
"03/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,14,Surabaya,P10,Jawa Timur,8960,8510,170
"03/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000007,ketimun 1 kg,Buah & Sayur,8,Surabaya,P10,Jawa Timur,4640,4440,20
"03/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000005,kacang hijau 1 kg,Buah & Sayur,5,Surabaya,P10,Jawa Timur,7210,6860,10
"04/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000012,wortel 1 kg,Buah & Sayur,6,Surabaya,P10,Jawa Timur,3440,3250,30
"04/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000005,kacang hijau 1 kg,Buah & Sayur,5,Surabaya,P10,Jawa Timur,7210,6860,10
"04/01/2020 0:00",1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000017,air mineral 600 ml,Makanan & Minuman,4,Surabaya,P10,Jawa Timur,1200,1150,20
