tgl_transaksi,bulan,kode_cabang,nama_cabang,kode_produk,nama_produk,nama_kategori,jumlah_pembelian,nama_kota,kode_propinsi,nama_propinsi,keuntungan
01/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000010,salak 1 kg,Buah & Sayur,9,Makassar,P26,Sulawesi Selatan,270
01/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,5,Makassar,P26,Sulawesi Selatan,950
01/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,6,Makassar,P26,Sulawesi Selatan,1680
01/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000035,hand sanitizer,Obat & Alat Medis,4,Jakarta Pusat,P32,DKI Jakarta,1360
01/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000001,bawang merah 1kg,Buah & Sayur,16,Jakarta Pusat,P32,DKI Jakarta,6560
01/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000019,nasi goreng instant (1 ons),Makanan & Minuman,18,Jakarta Pusat,P32,DKI Jakarta,3600
01/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000023,markisa 600 ml,Makanan & Minuman,3,Surabaya,P10,Jawa Timur,1290
01/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000020,snack gurih 1 ons,Makanan & Minuman,15,Surabaya,P10,Jawa Timur,2700
01/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000017,air mineral 600 ml,Makanan & Minuman,3,Surabaya,P10,Jawa Timur,90
01/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000028,paracetamol 1 pak,Obat & Alat Medis,14,Surabaya,P10,Jawa Timur,12180
02/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000041,oksigen medis,Obat & Alat Medis,1,Surabaya,P10,Jawa Timur,520
02/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000026,minuman probiotik,Makanan & Minuman,1,Surabaya,P10,Jawa Timur,30
02/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000007,ketimun 1 kg,Buah & Sayur,4,Surabaya,P10,Jawa Timur,720
02/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000033,pulse oximeter 1 buah,Obat & Alat Medis,15,Jakarta Pusat,P32,DKI Jakarta,10500
02/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000040,perban 1 pak,Obat & Alat Medis,5,Jakarta Pusat,P32,DKI Jakarta,2800
02/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000011,semangka 1 buah,Buah & Sayur,4,Jakarta Pusat,P32,DKI Jakarta,120
02/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000003,buncis 1 kg,Buah & Sayur,20,Makassar,P26,Sulawesi Selatan,4600
02/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,14,Makassar,P26,Sulawesi Selatan,2660
02/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000010,salak 1 kg,Buah & Sayur,18,Makassar,P26,Sulawesi Selatan,540
02/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000004,kacang panjang 1 kg,Buah & Sayur,17,Makassar,P26,Sulawesi Selatan,5780
03/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000023,markisa 600 ml,Makanan & Minuman,17,Makassar,P26,Sulawesi Selatan,7310
03/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000035,hand sanitizer,Obat & Alat Medis,20,Makassar,P26,Sulawesi Selatan,6800
03/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000016,mie instant 1 kotak (40 bungkus),Makanan & Minuman,11,Makassar,P26,Sulawesi Selatan,52030
03/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000040,perban 1 pak,Obat & Alat Medis,7,Jakarta Pusat,P32,DKI Jakarta,3920
03/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000011,semangka 1 buah,Buah & Sayur,1,Jakarta Pusat,P32,DKI Jakarta,30
